Variable,Units,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2015,2015,6,53,68,90,-1.483005503,0,-0.07,0.095857143,10.3,7.7,9,0,7.3,18.3,2795.8,72.9,1036.7,0,14.2,13.5,0,12.2,11.3,0,11.7,3.904,3.904,7.626,1.282971771,0.143193785,0.103462808,10.04285714,8.485714286,9.271428571,1.757142857,10.51428571,26.44285714,1968.071429,77.57142857,1016.857143,7.085714286,12.82857143,12.51428571,1.785714286,11.77142857,11.17142857,0,7.114285714,2.785095239,2.785095239,2.753118527,3.691675997,0.282516008,0.297604369
15/06/2015,2015,6,32,47,47,-1.483005503,0,-0.07,-0.093428571,18,8.9,13.5,0,6.1,22.1,1977.5,70.9,1018.4,0,16.9,16,15.4,14,12.4,7.3,5,2.54,2.54,27.814,0.527160625,0.094215642,0.04254443,16.62857143,7.857142857,12.25714286,0.1,7.9,19.27142857,2045.371429,75.08333333,1019.757143,4.057142857,11.14285714,15.3,6.428571429,11.84285714,12,4.242857143,6.771428571,2.969718358,2.969718358,20.6531367,0.701214568,0.104721893,0.056573178
22/06/2015,2015,6,52,60,48,-1.483005503,0,-0.07,0.533428571,15.3,9.2,12.3,0.1,8.6,19.1,1625.8,77.5,1013.1,0,15.2,15.1,14.9,14.4,13,0,2.5,1.869,1.869,23.371,0.475708542,0.146428766,0.038397392,16.67142857,9.842857143,13.25714286,2.742857143,9.042857143,22.57142857,1509.471429,83.47142857,1018,11.07142857,15.45714286,15.3,15.01428571,14.32857143,12.75714286,6.542857143,3.371428571,2.108127419,2.108127419,20.0687625,0.546360119,0.15257209,0.044091909
29/06/2015,2015,6,99,89,59,-1.483005503,0,-0.07,-0.566428571,18.6,13.3,15.9,1.3,11,24.4,811.8,85.9,1011.6,16.5,16.3,16.2,16.1,15.4,13.8,13.1,0.1,1.318,1.318,28.055,0.952016146,0.321430598,0.076787785,18.64285714,12.42857143,15.51428571,1.614285714,9.814285714,24.47142857,1519.714286,82.85714286,1011.085714,9.542857143,17.02857143,16.62857143,14.07142857,15.28571429,13.44285714,5.428571429,3.457142857,2.28348263,2.28348263,27.09749,0.744190447,0.294702404,0.060037034
06/07/2015,2015,7,39,55,41,-1.193986824,0,-3.18,-0.987428571,20.6,11,15.8,7.1,10.3,27,883,90.5,1002.3,16.6,16.7,16.9,16.8,16.1,14.3,0,2,1.84,1.84,30.442,0.631110313,0.149104723,0.050922775,20.14285714,11.98571429,16.05714286,2.128571429,9.314285714,24.91428571,1536.528571,81.64285714,1008.385714,9.871428571,17.47142857,17.08571429,16.78571429,15.82857143,14.02857143,1.057142857,4.1,2.469591943,2.469591943,30.59723475,0.80850878,0.228562568,0.065221091
13/07/2015,2015,7,199,165,300,-1.193986824,0,-3.18,-1.625857143,16,10.7,13.4,10.5,6.4,17.2,1284.8,85.3,1009.3,16.7,16.6,16.3,16,15.3,14.2,0,1.1,1.462,1.462,0,7.4431675,1.104983464,0.599974584,16.21428571,11.34285714,13.78571429,7.842857143,9.414285714,23.85714286,994.0285714,87.18571429,1009.442857,15.64285714,15.58571429,15.55714286,15.5,15.2,14.3,4.157142857,1.1,1.490693014,1.490693014,6.914784045,5.782723779,1.761787756,0.46614282
20/07/2015,2015,7,152,125,244,-1.193986824,0,-3.18,-2.152857143,16.6,11.2,13.9,3.2,12.8,30.9,1193.5,88.8,998.2,15.1,14.9,14.8,14.7,14.4,14.2,0,0,1.143,1.143,0,4.556121979,1.077446556,0.367278715,16.65714286,9.9,13.25714286,4.757142857,9.142857143,26.22857143,1147.5,82.9,1007.3,10.31428571,15.01428571,15.07142857,15.07142857,14.94285714,14.31428571,0,1.528571429,1.553500904,1.553500904,1.132058482,3.953523661,0.773603674,0.318709291
27/07/2015,2015,7,186,165,282,-1.193986824,0,-3.18,-1.382142857,16.2,11.6,13.9,7.9,10.3,35.9,692.1,91.2,996,15.3,15.3,15.6,15.5,15,14.2,0,1.8,1.582,1.582,0,7.019455625,1.284484894,0.565823407,16.95714286,10.04285714,13.51428571,5.671428571,7.642857143,24.32857143,1384.842857,83.15714286,1005.885714,15.5,15.4,15.3,15.14285714,14.81428571,14.15714286,1.285714286,3.314285714,1.998884146,1.998884146,2.04978902,4.45134622,1.062230318,0.358833789
03/08/2015,2015,8,202,125,314,-1.140374405,0,-0.76,-0.998428571,17,11.9,14.4,14.7,20.1,43.7,1287.3,82.7,992,14.8,14.7,14.6,14.6,14.5,14.2,0,4.8,2.341,2.341,0,12.41489844,1.981687959,1.000696098,16.31428571,10.34285714,13.32857143,6.214285714,11.64285714,29.04285714,1414.528571,82.58571429,1007.028571,14.81428571,14.72857143,14.74285714,14.72857143,14.65714286,14.22857143,0,4.828571429,2.315169038,2.315169038,0.941172668,6.915660491,1.412642868,0.557457519
10/08/2015,2015,8,156,128,268,-1.140374405,0,-0.76,0.155571429,15.3,11.9,13.6,16.5,9.4,22.4,1051.2,91.6,1009,15.5,15.4,15.3,15.2,14.9,14.2,0,2.8,1.709,1.709,0,8.104666563,3.418675864,0.653291409,16.42857143,10.71428571,13.55714286,4.871428571,9.242857143,23.7,1202.514286,87.54285714,1008.5,10.57142857,15.05714286,14.92857143,14.84285714,14.6,14.12857143,0,3.314285714,1.868688572,1.868688572,2.362478798,7.433130074,1.271269085,0.599165568
17/08/2015,2015,8,NA,NA,NA,-1.140374405,0,-0.76,0.407285714,20,11.5,15.8,0.3,3.5,12.3,1107.4,86.2,1015.1,17.4,17.2,16.7,16.4,15.5,14.4,9.9,3.5,1.901,1.901,11.392,0.979816667,0.142721193,0.079028507,17.92857143,10.02857143,14,0.342857143,5.614285714,16.55714286,1347.8,80.5,1014.542857,16.05714286,15.95714286,15.65714286,13.27142857,15.05714286,14.3,4.257142857,3.928571429,1.970354295,1.970354295,5.875870744,2.424383705,0.258832554,0.19546061
24/08/2015,2015,8,241,187,378,-1.140374405,0,-0.76,-0.619,15.1,10.8,12.9,1.7,10.2,29.3,1038.6,84.1,997.6,14.2,14.3,14.7,15,15.3,14.8,10.1,2.5,1.465,1.465,0.385,3.458170625,1.156626237,0.278783836,18.05714286,12.41428571,15.22857143,3.457142857,9.642857143,24.62857143,1112.671429,86.5,1004.542857,13.77142857,16.38571429,16.28571429,13.81428571,15.8,14.71428571,8.528571429,3.642857143,1.8846198,1.8846198,7.980707908,1.51755378,0.656711592,0.122370118
31/08/2015,2015,8,137,141,217,-1.140374405,0,-0.76,-1.044142857,16.1,9.9,13,2.5,7.3,23,1285.4,86,1018,0,15.5,15.5,15.4,15,14.4,0,4.5,1.846,1.846,0,2.362383542,0.230177803,0.190463397,16.48571429,10.4,13.44285714,4.942857143,8.271428571,23.8,980.8142857,87.35714286,1004.357143,8.357142857,14.5,14.6,14.75714286,14.71428571,14.5,2.871428571,4.157142857,1.827622868,1.827622868,0.041464028,4.886043393,0.852048738,0.393870381
07/09/2015,2015,9,NA,NA,NA,-0.715210588,0,-0.65,-0.634142857,15,9.9,12.5,0,4.3,11.4,824.4,80.8,1029.4,14.5,14.4,14.2,14.2,14.1,14.1,9.6,0,0.747,0.747,8.3,0.620160625,0.115972533,0.05004023,14.75714286,9.628571429,12.18571429,0.142857143,6.842857143,19.97142857,1001.685714,81.11428571,1024.5,11.88571429,13.97142857,14.07142857,14.2,14.31428571,14.22857143,3.866666667,2.542857143,1.328592899,1.328592899,5.084135497,1.015034628,0.141782325,0.081867075
14/09/2015,2015,9,184,142,331,-0.715210588,0,-0.65,-0.524,15.5,10.4,13,11.4,6.8,19.6,749.9,88.3,993.1,13.8,13.7,13.8,13.8,14,14.1,0,1.4,0.99,0.99,0,20.20200396,1.962331562,1.628336803,16.84285714,10.54285714,13.71428571,16.81428571,9.957142857,26.32857143,927.9714286,85.3,1005.714286,8.042857143,14.4,14.41428571,14.4,14.34285714,14.11428571,1.7,2.828571429,1.364926599,1.364926599,3.937526884,18.51625607,2.21143427,1.492465523
21/09/2015,2015,9,205,209,282,-0.715210588,0,-0.65,-0.784428571,16.8,10,13.4,4,8.6,32,1181.2,88.6,1005,0,13.8,13.8,13.9,13.9,13.9,8.7,5.2,1.692,1.692,0,2.6176275,0.684370576,0.21103606,15.65714286,9.6,12.64285714,2.657142857,6.657142857,20.54285714,776.1571429,87.61428571,1004.842857,11.72857143,13.67142857,13.68571429,13.82857143,13.84285714,13.88571429,2.742857143,1.914285714,1.042409557,1.042409557,0.402982417,4.566725968,0.480601126,0.368133397
28/09/2015,2015,9,105,120,190,-0.715210588,0,-0.65,0.144571429,17.7,8.6,13.2,0,13.2,28.1,1050.1,80.3,1027.6,12.2,12.3,12.6,12.9,13.1,13.4,0,5.1,1.546,1.546,3.982,1.371797813,0.147462648,0.110622187,15.71428571,9.328571429,12.52857143,1.857142857,10.27142857,24.51428571,866.1428571,83.47142857,1016.285714,12.6,12.65714286,12.84285714,13.07142857,13.34285714,13.61428571,0.957142857,3.471428571,1.259766545,1.259766545,1.33743973,2.329341101,0.40099526,0.187800176
05/10/2015,2015,10,65,71,84,-0.343158175,0,0.44,0.292285714,14.7,11.4,13,5.9,6.4,20.1,297,90.7,990.9,12.4,12.3,12.1,12.2,12.4,13,0,0,0.519,0.519,5.435,0.535590938,0.140521962,0.043223913,14.52857143,8.385714286,11.44285714,0.885714286,5.714285714,16.15714286,793.0428571,85.05714286,1018.185714,10.6,12.42857143,12.52857143,12.6,12.82857143,13.21428571,0,3.142857143,1.093370392,1.093370392,8.258809168,0.699804494,0.117040025,0.056459526
12/10/2015,2015,10,100,139,142,-0.343158175,0,0.44,0.018285714,13.4,6.1,9.8,0,5.2,14.9,824.8,79.7,1024.2,11,11.2,11.9,12.1,12.6,12.9,0,5.7,1.295,1.295,1.295,0.71358,0.174921585,0.057569832,15.57142857,8.6,12.1,1.942857143,6.285714286,18.78571429,684.9,86.24285714,1012.685714,12.22857143,12.25714286,12.38571429,12.45714286,12.6,12.92857143,1.414285714,3.071428571,0.977558823,0.977558823,1.407796624,0.842475372,0.37098032,0.067958799
19/10/2015,2015,10,40,63,60,-0.343158175,0,0.44,0.559,14.4,8.1,11.2,0,4.3,17.7,374.3,85.8,1024.7,10.4,10.3,10.4,10.5,10.9,12,0,0.7,0.493,0.493,6.993,0.427355208,0.097871989,0.034500113,13.54285714,6.328571429,9.942857143,0.057142857,4.942857143,14.18571429,637.4285714,82.57142857,1023.371429,9.828571429,9.942857143,10.28571429,10.55714286,11.28571429,12.4,0,3.185714286,0.871204919,0.871204919,5.187554593,0.520745223,0.111809508,0.042027349
26/10/2015,2015,10,156,147,306,-0.343158175,0,0.44,0.899285714,13.7,10.4,12,8.3,14.9,32.2,116.5,89.3,996.6,10.7,10.6,10.4,10.6,10.9,11.8,0,0,0.349,0.349,0,5.528588229,0.513718084,0.445659495,13.18571429,8.957142857,11.02857143,8.442857143,11.68571429,33.98571429,278.0571429,85.84285714,1010.057143,10.68571429,10.65714286,10.8,10.97142857,11.25714286,11.91428571,1.2,0.928571429,0.487007799,0.487007799,0,6.505315626,1.078276616,0.524383723
02/11/2015,2015,11,102,102,162,0.197320433,0,1.74,0.364571429,16.2,9.6,12.9,0,6.4,17.3,370.7,91.1,1015.4,11.1,11,10.8,10.8,10.9,11.6,0,2.2,0.59,0.59,2.721,1.458868958,0.175232237,0.117640122,14.65714286,7.942857143,11.3,1.7,9.514285714,24,437.6571429,86.61428571,1006.457143,10.47142857,10.5,10.6,10.78571429,11.04285714,11.65714286,0,3.3,0.727588713,0.727588713,0.87948236,2.932576101,0.41865425,0.236420917
09/11/2015,2015,11,175,136,295,0.197320433,0,1.74,1.082142857,14.8,9.7,12.2,15.4,19.4,49.7,48.8,94,1002.5,11.1,10.9,10.4,10.4,10.6,11.3,8.9,0,0.264,0.264,0,18.88534208,2.243825472,1.522213855,13.2,8.085714286,10.61428571,5.685714286,9.771428571,26.54285714,251.7,90.41428571,1004.885714,10.04285714,10.04285714,10.17142857,10.37142857,10.7,11.38571429,1.271428571,1.142857143,0.398226371,0.398226371,0.86479962,4.307594851,0.721860405,0.347247428
16/11/2015,2015,11,96,82,193,0.197320433,0,1.74,0.736857143,10,4.9,7.4,1.6,12.5,37.2,310.7,73.8,999.3,7.4,7.9,9.2,9.7,10.2,10.7,0,2.8,0.455,0.455,0,41.61360354,1.160590432,3.354111729,12.61428571,6.528571429,9.585714286,18.37142857,13.98571429,41.55714286,180.8285714,86.05714286,1003.757143,9.4,9.542857143,9.828571429,10.12857143,10.48571429,11.11428571,2.5,1.028571429,0.325509071,0.325509071,0,26.28387628,0.928875167,2.118535712
23/11/2015,2015,11,88,50,155,0.197320433,0,1.74,0.151285714,11.4,4.2,7.8,8.9,9.7,33.4,36.7,88.8,1015.7,6.8,6.8,6.6,7,7.7,9.7,0,0,0.177,0.177,0,4.860101042,0.947217931,0.391779428,9.985714286,4.671428571,7.328571429,7.971428571,12.38571429,39.12857143,186.1571429,82.91428571,1008.214286,6.371428571,6.485714286,6.957142857,7.514285714,8.571428571,10.3,0,1.242857143,0.291624396,0.291624396,0,12.27347682,1.116369833,0.989297515
30/11/2015,2015,11,63,41,100,0.197320433,0,1.74,1.569142857,11.1,4.4,7.7,20.3,7.8,27.7,124.6,92.6,1006.6,5.9,5.9,6.4,7,8,9.5,0,0,0.156,0.156,0,16.46416854,0.89909873,1.327067268,10.97142857,6.571428571,8.757142857,13.81428571,15.34285714,39.95714286,148.6714286,86.1,1007.728571,7.614285714,7.628571429,7.857142857,8.114285714,8.485714286,9.557142857,0,0.585714286,0.218830606,0.218830606,0,14.33483838,1.593611362,1.155443257
07/12/2015,2015,12,89,58,128,0.318489685,0,2.24,1.871714286,13.5,5.6,9.5,5,18,38.7,47.2,85.7,999.7,8.6,8.5,8.2,8.3,8.6,9.2,0,0,0.149,0.149,0,39.14564385,0.667092936,3.155194178,12.11428571,5.357142857,8.728571429,17.21428571,15.88571429,43.52857143,110.6571429,86.52857143,1004.242857,8.185714286,8.2,8.128571429,8.257142857,8.414285714,9.214285714,1.25,0.842857143,0.213679137,0.213679137,0,46.26584844,6.670479201,3.729082667
14/12/2015,2015,12,100,65,124,0.318489685,0,2.24,0.758857143,10.3,9.1,9.7,3,12.6,27.3,54.6,90.2,1003.6,7.4,7.2,6.5,6.6,6.7,8.6,0,0,0.142,0.142,0,6.010906667,0.531927033,0.484534361,9.742857143,4.342857143,7.042857143,10.17142857,13.07142857,35.85714286,109.3,84.15714286,1009.728571,5.842857143,5.942857143,6.371428571,6.842857143,7.671428571,9.014285714,0,0.628571429,0.178537017,0.178537017,0,15.27137004,1.270567574,1.230927709
21/12/2015,2015,12,175,122,239,0.318489685,0,2.24,0.720428571,11.5,7,9.3,3.9,15,43,239.3,77.5,997.5,7.1,7.3,7.6,8.1,8.7,9.2,0,3.5,0.402,0.402,0,9.618505417,1.39540487,0.77530682,12.91428571,9.057142857,11,5.228571429,15.24285714,36.24285714,111.4285714,84.95714286,996.8,9.185714286,9.157142857,8.985714286,9.014285714,8.685714286,8.8,1.471428571,0.814285714,0.207928151,0.207928151,0,8.725432857,1.278223708,0.703325172
28/12/2015,2015,12,103,52,154,0.318489685,0,2.24,1.01,12.3,6.9,9.6,7.7,12.6,39.4,25,86.2,993,7.8,7.7,7,7,6.8,8.4,0,0,0.152,0.152,0,4.109713854,0.851305781,0.33129822,9.885714286,3.785714286,6.842857143,6.185714286,12.15714286,36,89.8,85.82857143,999.2571429,5.742857143,5.842857143,6.185714286,6.657142857,7.471428571,8.828571429,0,0.285714286,0.15827171,0.15827171,0.018090079,6.659881905,0.783499754,0.536841765
04/01/2016,2016,1,77,68,131,0.090037734,0,0.12,0.905142857,7.8,6.1,7,0.8,6,13.9,120.2,93.3,972.8,6.6,6.5,6.4,6.6,6.7,7.9,0,0,0.141,0.141,0,5.315019968,0.526652969,0.086487581,9,3.485714286,6.242857143,9.271428571,11.77142857,35.58571429,104.0857143,88.47142857,988.0714286,5.6,5.642857143,5.9,6.242857143,6.814285714,8.128571429,0,0.242857143,0.157545466,0.157545466,0,9.012365295,1.256357887,0.470124527
11/01/2016,2016,1,103,52,158,0.090037734,0,0.12,-0.442142857,7,2.8,4.9,9.1,12.5,34.4,91.8,85.3,982.8,3.8,3.9,0,4.5,5.3,7.3,0,0,0.145,0.145,0,3.194868026,0.791136766,0.146310912,7.185714286,2.485714286,4.842857143,3.928571429,8.8,26.2,166.4571429,87.04285714,982.2,4.071428571,4.2,3.471428571,5.171428571,6.057142857,6.571428571,0,1.328571429,0.234009859,0.234009859,0,3.851611557,0.569833019,0.105342938
18/01/2016,2016,1,118,85,181,0.090037734,0,0.12,-0.808428571,7.7,6.6,7.2,2,4.6,15.4,95.6,93.6,1006.4,6.1,6,0,5.5,5.3,6.5,0,0,0.176,0.176,0,4.119189743,0.94342448,0.170327744,6.657142857,2.657142857,4.642857143,4.457142857,8.671428571,26.65714286,168.0714286,85.2,1012.914286,3.428571429,3.5,0.557142857,4.157142857,4.928571429,4.828571429,0,1.257142857,0.247315374,0.247315374,0,3.386854642,0.69071963,0.105743408
25/01/2016,2016,1,NA,NA,NA,0.090037734,0,0.12,0.045285714,13.2,6.1,9.6,8.5,15.6,39.8,313.8,82.6,1002,9.1,9.2,9.2,9,8.2,7.3,0,3.4,0.556,0.556,0,9.671111143,1.859116226,0.170754038,10.88571429,6.728571429,8.785714286,6.042857143,12.88571429,31.28571429,171.6428571,87.71428571,1005.814286,7.757142857,7.7,7.342857143,7.271428571,6.8,6.928571429,0.828571429,0.971428571,0.293842903,0.293842903,0,7.559285492,1.534518878,0.432259109
01/02/2016,2016,2,51,29,59,0.832845624,0,1.58,1.404857143,11.4,7.5,9.4,1.6,22,49.3,1.4,88.1,998.9,8.6,8.5,7.6,7.4,6.7,7.5,NA,1.9,0.46,0.46,0,16.63428102,2.144800463,0.405547739,9.9,4.285714286,7.114285714,10.65714286,16.52857143,45.61428571,169.9142857,85.58571429,1000.028571,6.614285714,6.671428571,6.742857143,7,7.271428571,7.657142857,0,1.257142857,0.342777697,0.342777697,0,19.06908543,2.655482135,0.724222348
08/02/2016,2016,2,40,25,51,0.832845624,0,1.58,0.759,7.8,3.7,5.8,18.8,18,42.4,197.3,86.5,974.2,5.5,5.5,5.6,5.9,6.3,7.4,0,0,0.263,0.263,0,13.4559151,1.726820478,0.620442624,8.928571429,4.628571429,6.785714286,9.385714286,15.87142857,42.72857143,188.9,83.65714286,996.0285714,5.728571429,5.785714286,5.942857143,6.257142857,6.614285714,7.414285714,0.057142857,0.357142857,0.291862846,0.291862846,0,10.18526488,1.243967681,0.287332471
15/02/2016,2016,2,41,22,55,0.832845624,0,1.58,0.982571429,9.2,0.5,4.9,0.3,8,25.7,659.1,76.9,1026.8,2.9,3.1,3.4,3.9,4.9,6.6,0,5,0.886,0.886,1.501,3.535566922,0.260662382,0.047971572,7.228571429,1.371428571,4.3,9.228571429,9.014285714,24.9,457.1571429,85.11428571,997.3714286,3.485714286,3.685714286,4.071428571,4.557142857,5.4,6.928571429,0,3.514285714,0.672130865,0.672130865,0.648872964,10.9535606,1.097299333,0.448655507
22/02/2016,2016,2,39,20,50,0.832845624,0,1.58,1.436714286,9.1,2.6,5.9,2.7,8,25.9,681.8,76.5,1008.9,5.3,5.6,5.9,6.2,6.5,6.6,0,5.9,1.131,1.131,0,7.595890683,0.582540134,0.098417548,9.585714286,3.485714286,6.528571429,7.4,10.9,32.57142857,430.2857143,84.85714286,1006.842857,5.742857143,5.771428571,5.628571429,5.728571429,5.757142857,6.514285714,0,3.085714286,0.7296939,0.7296939,0,8.256362116,1.216881908,0.293667314
29/02/2016,2016,2,73,50,126,0.832845624,0,1.58,0.691285714,10.2,4.7,7.4,38.6,10.6,31.1,104.5,95,1012.3,6.3,6.2,5.6,5.6,5.6,6.5,0,0,0.414,0.414,0,4.953776215,4.630664836,1.214006365,8.614285714,1.242857143,4.928571429,7.185714286,6.257142857,20.07142857,613.7571429,85.34285714,1013.914286,4.7,4.114285714,4.914285714,5.1,5.6,6.6,0,3.114285714,0.780247168,0.780247168,0.452200776,3.574656228,1.00569411,0.217566776
07/03/2016,2016,3,53,31,79,1.20622765,0,0.73,0.893857143,8.7,4.7,6.7,1.5,10.6,30.9,790.5,76.6,1012.4,5.9,5.8,5.4,5.4,5.5,6.5,0,4.2,1.118,1.118,0,6.88759955,0.967259513,0.195850895,8.085714286,1.842857143,4.957142857,8.842857143,13.07142857,41.2,621.4714286,83.74285714,1004.271429,5.242857143,5.342857143,5.442857143,5.614285714,5.885714286,6.571428571,0,3.285714286,0.894968645,0.894968645,0,10.75999699,1.203176622,0.316572403
14/03/2016,2016,3,41,28,63,1.20622765,0,0.73,0.739428571,14.1,5.2,9.6,0,8.9,19.4,1341.2,71.1,1029,9.4,9.5,9,8.7,7.9,7.1,0,8.7,2.13,2.13,3.243,2.830746319,0.266161777,0.035345405,11.57142857,6.2,8.871428571,3.628571429,8.485714286,23.25714286,579.9714286,81.92857143,1018.514286,8,7.928571429,7.5,7.3,6.785714286,6.685714286,0,2.5,0.949761175,0.949761175,0.742439315,4.911919197,0.793734795,0.088536986
21/03/2016,2016,3,30,24,37,1.20622765,0,0.73,0.026857143,10.4,5.3,7.9,0,3.7,13.7,481.6,76.4,1021.8,8.7,8.7,8.6,8.5,8.1,7.7,0,0,0.578,0.578,13.659,0.806205179,0.161613959,0.022790276,12.12857143,4.3,8.2,0,6.571428571,17.97142857,1065.728571,76.62857143,1027.1,8.514285714,7.471428571,8.357142857,8.228571429,7.928571429,7.528571429,0,5.214285714,1.488027224,1.488027224,9.843075746,1.293113525,0.184095237,0.026834906
29/03/2016,2016,3,99,80,150,1.20622765,0,0.73,0.366142857,10,2.9,6.5,9.9,6.3,21.7,1043.2,88,992.1,7.6,7.5,7.6,7.5,7.6,7.9,0,3,1.175,1.175,0,4.726600935,1.35744513,0.155067961,11.1,4.128571429,7.628571429,6.685714286,10.02857143,31.42857143,864.2285714,82.57142857,993.8285714,7.814285714,6.771428571,7.857142857,7.885714286,7.928571429,7.928571429,0,2.757142857,1.130621085,1.130621085,4.085044582,2.731358552,0.910526734,0.142561649
04/04/2016,2016,4,85,80,119,1.173611629,0,0.38,0.850714286,11.5,5.4,8.5,0,9.9,21.2,1331.3,81,999.7,9.7,9.6,9.3,9.1,8.5,8.1,0,6.8,2.083,2.083,2.299,4.712486655,0.25151863,0.034776401,11.12857143,4.357142857,7.742857143,5.642857143,8.271428571,24.91428571,1048.257143,82.45714286,1000.814286,8.457142857,8.371428571,8.214285714,8.114285714,7.928571429,7.957142857,0,4.185714286,1.474829502,1.474829502,0.639686833,6.483668052,0.859210983,0.434928724
11/04/2016,2016,4,211,153,322,1.173611629,0,0.38,0.397857143,9.1,5.9,7.5,6,10.9,28.4,393.8,82,1005,7,6.9,6.9,7.1,7.6,8.2,0,0,0.732,0.732,0,2.146620932,0.272952906,0.064004227,10.4,3.314285714,6.857142857,5.757142857,12.11428571,32.22857143,1031.942857,78.48571429,1003.6,6.585714286,6.6,7.914285714,8.042857143,8.242857143,8.285714286,0,3.571428571,1.404900364,1.404900364,0.08852313,3.016187383,0.659651679,0.081648694
18/04/2016,2016,4,NA,NA,NA,1.173611629,0,0.38,-0.025142857,11.3,6.7,9,0.8,7.2,22.5,943,77.3,1018.9,9.6,9.4,9.1,9,8.6,8.4,5.2,2.1,1.279,1.279,6.277,0.773750109,0.199977618,0.030404411,11.3,4.014285714,7.657142857,1.628571429,7.228571429,21.44285714,1212.257143,79.68571429,1009.1,9.042857143,6.414285714,8.757142857,8.6,8.385714286,8.285714286,0.742857143,5.085714286,1.824598021,1.824598021,3.712454314,1.603368668,0.286416008,0.082506519
25/04/2016,2016,4,39,50,43,1.173611629,0,0.38,0.201571429,11.7,4.5,8.1,1,12.5,30.3,1765.4,75.7,1016.1,10.9,11,10.8,10.8,10.3,9.4,0,9.1,2.862,2.862,26.648,0.343637723,0.166778388,0.028183539,14.44,5.4,9.94,0.32,8.46,21.7,1817.52,72.72,1022.44,4.3,4.34,10.94,8.52,9.88,8.92,0,9.8,3.138630372,3.138630372,18.74030806,0.472369417,0.168356179,0.027253422
02/05/2016,2016,5,105,84,168,0.971823574,0,0.38,-0.600714286,12.8,6.6,9.7,8.2,15.2,42.7,1826.7,76.9,1011.5,11.2,11.1,10.9,10.7,9.9,9.2,0,8.5,2.936,2.936,0,9.3774192,1.993863051,0.481519115,10.8,4.633333333,7.733333333,7.25,11.93333333,33.88333333,1390.483333,78.65,1012.883333,8.033333333,9.3,9.366666667,9.416666667,9.433333333,9.3,0,6.014285714,2.178448188,2.178448188,14.94244308,4.462367416,0.73559617,0.138272135
09/05/2016,2016,5,82,74,130,0.971823574,0,-0.77,0.016,24.4,16.2,20.3,0,11.8,28.3,1732.8,53,1005.3,15.8,15.4,14.2,13.5,11.6,9.9,0,5.6,2.947,2.947,7.701,3.755331801,0.220222002,0.036825894,15.7,8.371428571,12.04285714,1.385714286,11.3,27.95714286,1544.085714,73.41428571,1009.6,10.45714286,10.25714286,11.55714286,11.28571429,10.57142857,9.628571429,0,5.842857143,2.485927531,2.485927531,4.016151876,4.094397489,0.327189535,0.049992232
16/05/2016,2016,5,33,47,41,0.971823574,0,-0.77,-0.906142857,18.3,4.8,11.6,0,5.6,18.1,2750.5,70.9,1018.9,0,0,15.5,0,13.9,11.5,0,11.9,4.093,4.093,29.873,3.5032476,0.140695154,0.023526193,18.95714286,9.114285714,14.02857143,0.257142857,7.957142857,20.68571429,2116.585714,70.08571429,1012.814286,6.6,6.485714286,15.05714286,8.114285714,13.17142857,10.81428571,0,8.785714286,3.424467675,3.424467675,17.46692111,3.567751242,0.16104459,0.025563674
23/05/2016,2016,5,133,111,148,0.971823574,0,-0.77,-0.314857143,15.4,6.2,10.8,0,4.5,15.2,1523.4,68.4,1019.7,0,13.1,12.9,12.8,12.8,11.9,0,7.2,2.887,2.887,21.178,3.9050098,0.267442015,0.042936445,14.32857143,7.742857143,11.05714286,3.371428571,7.042857143,22.44285714,1321.585714,82.22857143,1005.257143,9.757142857,11.7,13.8,13.7,13.28571429,11.81428571,0,4.228571429,2.129342255,2.129342255,22.34697562,4.278569198,0.385291532,0.03621156
30/05/2016,2016,5,126,64,130,0.971823574,0,-0.77,0.044714286,18.8,10.4,14.6,0,10.7,22.9,2875.7,76.2,1020.7,0,0,16.6,0,14.4,12.4,0,2.7,1.944,1.944,32.195,0.815228722,0.149428512,0.030744596,18.21428571,8.814285714,13.52857143,0.957142857,6.6,18.35714286,1887.914286,74.04285714,1016.442857,6.3,6.271428571,14.92857143,10.32857143,13.6,12.1,0,5.085714286,2.530924948,2.530924948,29.18735264,1.659193656,0.165854106,0.037184068
06/06/2016,2016,6,34,46,43,1.201131266,0,-0.43,-0.259571429,22.1,12.6,17.4,0,6.3,18.9,2005.3,71.6,1016.5,0,21.4,20.6,0,17.9,13.9,0,8.6,3.837,2.948,61.483,0.508511055,0.124013809,0.02139426,21.67142857,11.07142857,16.37142857,0,8.014285714,20.5,2685.457143,71.77142857,1019.714286,0,3.566666667,18.8,0,16.32857143,13.17142857,0,11.51428571,4.587823949,4.183994445,49.91868186,0.578578154,0.130964398,0.022849582
13/06/2016,2016,6,43,50,48,1.201131266,0,-0.43,-0.750428571,22.6,12,17.3,2.2,7.8,20.9,1756.8,85,997.2,0,18.7,18.2,18,17.3,15.1,0,4.1,2.505,2.39,43.847,0.553929403,0.23195183,0.023439768,21.02857143,13.44285714,17.21428571,4.371428571,5.3,16.02857143,1523.9,84.04285714,1010.128571,11.22857143,16.94285714,19.67142857,16.48571429,17.95714286,14.77142857,0,3.557142857,2.356931212,1.852043653,54.58468706,0.490851087,0.143812019,0.021401196
